Code,Definition
usual,Known as/conventional/the one you normally use
official,"The formal name as registered in an official (government) registry, but which name might not be commonly used. May be called ""legal name""."
temp,A temporary name. A name valid time can provide more detailed information. This may also be used for temporary names assigned at birth or in emergency situations.
anonymous,"Anonymous assigned name, alias, or pseudonym (used to protect a person's identity for privacy reasons)"
old,"This name is no longer in use (or was never correct, but retained for records)"
maiden,"A name used prior to marriage. Marriage naming customs vary greatly around the world. This name use is for use by applications that collect and store ""maiden"" names. Though the concept of maiden name is often gender specific, the use of this term is not gender specific. The use of this term does not imply any particular history for a person‘s name, nor should the maiden name be determined algorithmically"
