Code,Definition
home,"A communication contact at a home; attempted contacts for business purposes might intrude privacy and chances are one will contact family or other household members instead of the person one wishes to call. Typically used with urgent cases, or if no other contacts are available."
work,An office contact. First choice for business related contacts during business hours.
temp,A temporary contact. The period can provide more detailed information.
old,"This contact is no longer in use (or was never correct, but retained for records)"
mobile,"A telecommunication device that moves and stays with its owner. May have characteristics of all other use codes, suitable for urgent matters, not the first choice for routine business"
